4000,7,58.33,5.733654,0.000533
5000,7,56.14,6.174562,0.000577
5000,7,57.14,6.350316,0.000572
5000,7,56.78,6.307580,0.000571
5000,7,55.49,6.101323,0.000598
5000,7,57.51,6.039346,0.000599
6000,7,56.14,6.619254,0.000644
6000,7,60.99,6.877250,0.000630
6000,7,56.32,6.987704,0.000693
6000,7,55.40,6.911942,0.000629
6000,7,53.85,6.768225,0.000637
7000,7,56.87,7.641921,0.000711
7000,7,58.61,7.475603,0.000699
7000,7,57.23,7.408545,0.000687
7000,7,55.68,7.872486,0.000716
7000,7,59.43,7.726519,0.000717
8000,7,57.69,8.302321,0.000765
8000,7,56.96,8.514988,0.000775
8000,7,59.80,8.518388,0.000784
8000,7,57.42,8.458362,0.000765
8000,7,56.68,8.197203,0.000746
9000,7,56.59,9.158159,0.000841
9000,7,58.97,9.183160,0.000837
9000,7,58.33,9.312355,0.000833
9000,7,57.23,9.121741,0.000849
9000,7,60.99,9.278929,0.000840
10000,7,54.58,9.698882,0.000878
10000,7,58.52,9.791886,0.000879
10000,7,57.78,10.096851,0.000885
10000,7,55.77,9.689626,0.000926
10000,7,60.44,9.749841,0.000871
1000,8,50.09,2.236144,0.000420
1000,8,48.26,2.229696,0.000336
1000,8,48.72,2.217969,0.000344
1000,8,48.53,2.198012,0.000341
1000,8,49.08,2.165367,0.000332
2000,8,49.91,3.541005,0.000404
2000,8,49.18,3.387012,0.000400
2000,8,49.82,3.440578,0.000397
2000,8,49.91,3.502417,0.000412
2000,8,48.81,3.504178,0.000401
3000,8,51.83,4.845808,0.000460
3000,8,52.38,4.749963,0.000460
3000,8,50.46,5.013624,0.000464
3000,8,53.75,4.971922,0.000466
3000,8,47.53,4.862772,0.000473
4000,8,53.94,5.660851,0.000519
4000,8,52.20,5.753488,0.000515
4000,8,49.18,5.499638,0.000515
4000,8,50.92,5.412689,0.000528
4000,8,51.19,5.676916,0.000522
5000,8,50.00,6.113000,0.000595
5000,8,46.89,6.030122,0.000640
5000,8,52.84,6.375164,0.000582
5000,8,49.54,6.318041,0.000648
5000,8,50.00,6.158306,0.000576
6000,8,50.18,6.462213,0.000630
6000,8,50.46,6.974367,0.000638
6000,8,53.48,7.118720,0.000636
6000,8,53.75,6.927293,0.000632
6000,8,50.46,6.947005,0.000629
7000,8,49.36,7.543805,0.000694
7000,8,51.74,7.631268,0.000687
7000,8,52.84,7.206731,0.000695
7000,8,50.82,7.750718,0.000687
7000,8,54.40,7.370660,0.000686
8000,8,53.21,8.424300,0.000754
8000,8,48.26,8.264547,0.000751
8000,8,51.01,8.279917,0.000748
8000,8,52.11,7.877692,0.000747
8000,8,50.82,7.988921,0.000747
9000,8,50.64,9.008639,0.000811
9000,8,50.00,8.560663,0.000822
9000,8,53.30,8.799848,0.000820
9000,8,51.10,9.082297,0.000810
9000,8,53.48,8.988032,0.000821
10000,8,53.39,9.388635,0.000857
10000,8,48.44,9.514479,0.000859
10000,8,50.82,9.433432,0.000875
10000,8,50.09,9.522558,0.000876
10000,8,52.01,9.366592,0.000931
1000,9,61.54,2.180516,0.000331
1000,9,58.33,2.174630,0.000329
1000,9,61.90,2.178863,0.000331
1000,9,57.60,2.117693,0.000326
1000,9,60.62,2.243717,0.000340
2000,9,63.10,3.505592,0.000413
2000,9,61.81,3.441915,0.000401
2000,9,63.64,3.425313,0.000404
2000,9,60.53,3.486041,0.000407
2000,9,63.74,3.471036,0.000410
3000,9,60.53,4.791821,0.000459
3000,9,60.35,4.687145,0.000461
3000,9,63.10,5.001887,0.000478
3000,9,64.29,4.869624,0.000452
3000,9,62.55,4.969580,0.000458
4000,9,61.72,5.538570,0.000520
4000,9,62.45,5.618067,0.000519
4000,9,59.71,5.804571,0.000534
4000,9,63.28,5.415820,0.000602
4000,9,63.00,5.453324,0.000540
5000,9,62.27,6.458988,0.000603
5000,9,62.45,6.003781,0.000591
5000,9,62.73,6.126937,0.000579
5000,9,60.99,6.426250,0.000573
5000,9,61.72,6.079644,0.000588
6000,9,59.62,7.092667,0.000631
6000,9,62.73,6.849956,0.000632
6000,9,61.36,7.045207,0.000628
